color,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genre1,genre2,genre3,genre4,genre5,genre6,genre7,genre8,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
Color,Zack Snyder,673,183,0,2000,Lauren Cohan,15000,330249062,Action,Adventure,Sci-Fi,,,,,,Henry Cavill,Batman v Superman: Dawn of Justice,371639,24450,Alan D. Purwin,0,based on comic book|batman|sequel to a reboot|superhero|superman,http://www.imdb.com/title/tt2975590/?ref_=fn_tt_tt_1,3018,English,USA,PG-13,250000000,2016,4000,6.9,2.35,197000
Color,Anthony Russo,516,147,94,11000,Scarlett Johansson,21000,407197282,Action,Adventure,Sci-Fi,,,,,,Robert Downey Jr.,Captain America: Civil War,272670,64798,Chris Evans,0,based on comic book|knife|marvel cinematic universe|returning character killed off|superhero,http://www.imdb.com/title/tt3498820/?ref_=fn_tt_tt_1,1022,English,USA,PG-13,250000000,2016,19000,8.2,2.35,72000
Color,Justin Lin,322,122,681,105,Melissa Roxburgh,998,130468626,Action,Adventure,Sci-Fi,Thriller,,,,,Sofia Boutella,Star Trek Beyond,53607,1327,Lydia Wilson,4,hatred|sequel|space opera|star trek|third part,http://www.imdb.com/title/tt2660888/?ref_=fn_tt_tt_1,432,English,USA,PG-13,185000000,2016,119,7.5,2.35,30000
Color,David Yates,248,110,282,103,Alexander Skarsgård,11000,124051759,Action,Adventure,Drama,Romance,,,,,Christoph Waltz,The Legend of Tarzan,42372,21175,Casper Crump,2,africa|capture|jungle|male objectification|tarzan,http://www.imdb.com/title/tt0918940/?ref_=fn_tt_tt_1,239,English,USA,PG-13,180000000,2016,10000,6.6,2.35,29000
Color,Bryan Singer,396,144,0,1000,Michael Fassbender,34000,154985087,Action,Adventure,Sci-Fi,,,,,,Jennifer Lawrence,X-Men: Apocalypse,148379,49684,Tye Sheridan,6,mutant|superhero|superhero team|x men|year 1983,http://www.imdb.com/title/tt3385516/?ref_=fn_tt_tt_1,622,English,USA,PG-13,178000000,2016,13000,7.3,2.35,54000
Color,Jon Favreau,370,106,4000,591,Bill Murray,19000,362645141,Adventure,Drama,Family,Fantasy,,,,,Scarlett Johansson,The Jungle Book,106072,32921,Garry Shandling,0,fire|jungle|remake|tiger|wolf,http://www.imdb.com/title/tt3040964/?ref_=fn_tt_tt_1,398,English,UK,PG,175000000,2016,13000,7.8,1.85,65000
Color,Jon Favreau,370,106,4000,591,Bill Murray,19000,362645141,Adventure,Drama,Family,Fantasy,,,,,Scarlett Johansson,The Jungle Book,106221,32921,Garry Shandling,0,fire|jungle|remake|tiger|wolf,http://www.imdb.com/title/tt3040964/?ref_=fn_tt_tt_1,398,English,UK,PG,175000000,2016,13000,7.8,1.85,65000
Color,David Ayer,418,123,452,329,Robin Atkin Downes,10000,161087183,Action,Adventure,Comedy,Sci-Fi,,,,,Will Smith,Suicide Squad,118992,11287,Ike Barinholtz,8,based on comic book|critically bashed|father daughter relationship|reference to superman|super villain,http://www.imdb.com/title/tt1386697/?ref_=fn_tt_tt_1,971,English,USA,PG-13,175000000,2016,336,6.9,2.35,80000
Color,James Bobin,218,113,33,11000,Alan Rickman,40000,76846624,Adventure,Family,Fantasy,,,,,,Johnny Depp,Alice Through the Looking Glass,21352,80806,Anne Hathaway,1,clock|dark fantasy|mad hatter|queen|sequel,http://www.imdb.com/title/tt2567026/?ref_=fn_tt_tt_1,131,English,USA,PG,170000000,2016,25000,6.4,1.85,30000
Color,Roland Emmerich,286,120,776,535,Sela Ward,890,102315545,Action,Adventure,Sci-Fi,,,,,,Vivica A. Fox,Independence Day: Resurgence,58137,3233,Judd Hirsch,0,alien|battle|defense|independence day|mothership,http://www.imdb.com/title/tt1628841/?ref_=fn_tt_tt_1,520,English,USA,PG-13,165000000,2016,812,5.5,2.35,67000
Color,Duncan Jones,275,123,0,648,Callum Rennie,3000,46978995,Action,Adventure,Fantasy,,,,,,Dominic Cooper,Warcraft,111609,5505,Ruth Negga,0,based on video game|fictional language|fictional war|orc|sword and sorcery,http://www.imdb.com/title/tt0803096/?ref_=fn_tt_tt_1,781,English,USA,PG-13,160000000,2016,716,7.3,2.35,89000
Color,Alessandro Carloni,210,95,5,967,Angelina Jolie Pitt,24000,143523463,Action,Adventure,Animation,Comedy,Family,,,,J.K. Simmons,Kung Fu Panda 3,64322,36095,Wayne Knight,0,china|kung fu|panda|pig|village,http://www.imdb.com/title/tt2267968/?ref_=fn_tt_tt_1,145,English,USA,PG,145000000,2016,11000,7.2,2.35,24000
Color,Paul Feig,464,116,176,322,Kate McKinnon,783,118099659,Action,Comedy,Fantasy,Sci-Fi,,,,,Ed Begley Jr.,Ghostbusters,69757,2097,Zach Woods,4,ghost|ghostbuster|ghostbusters|male objectification|reboot,http://www.imdb.com/title/tt1289401/?ref_=fn_tt_tt_1,1211,English,USA,PG-13,144000000,2016,370,5.5,2.35,62000
Color,Paul Feig,464,116,176,322,Kate McKinnon,783,118099659,Action,Comedy,Fantasy,Sci-Fi,,,,,Ed Begley Jr.,Ghostbusters,69790,2097,Zach Woods,4,ghost|ghostbuster|ghostbusters|male objectification|reboot,http://www.imdb.com/title/tt1289401/?ref_=fn_tt_tt_1,1211,English,USA,PG-13,144000000,2016,370,5.5,2.35,62000
Color,Steven Spielberg,252,117,14000,358,Penelope Wilton,535,52792307,Adventure,Family,Fantasy,,,,,,Mark Rylance,The BFG,12572,1950,Rafe Spall,0,cannibal|evil brother|giant|london england|queen,http://www.imdb.com/title/tt3691740/?ref_=fn_tt_tt_1,106,English,UK,PG,140000000,2016,400,6.8,2.35,27000
Color,Alex Proyas,184,126,295,284,Elodie Yung,18000,31141074,Action,Adventure,Fantasy,,,,,,Gerard Butler,Gods of Egypt,51892,19769,Bryan Brown,4,ancient egypt|egypt|egyptian|egyptian god|egyptian goddess,http://www.imdb.com/title/tt2404233/?ref_=fn_tt_tt_1,273,English,USA,PG-13,140000000,2016,934,5.5,2.35,24000
Color,Dave Green,181,112,13,799,Noel Fisher,5000,81638674,Action,Adventure,Comedy,Sci-Fi,,,,,Stephen Amell,Teenage Mutant Ninja Turtles: Out of the Shadows,17533,8306,Brad Garrett,,based on comic book|brother brother relationship|rat|sequel|turtle,http://www.imdb.com/title/tt3949660/?ref_=fn_tt_tt_1,115,English,USA,PG-13,135000000,2016,833,6.3,2.35,12000
Color,Paul Greengrass,267,123,521,265,Riz Ahmed,13000,108521835,Action,Thriller,,,,,,,Matt Damon,Jason Bourne,40123,13752,Ato Essandoh,0,black ops|chase|cia|cia agent|repeated scene,http://www.imdb.com/title/tt4196776/?ref_=fn_tt_tt_1,297,English,UK,PG-13,120000000,2016,365,7.1,2.35,31000
Color,Cedric Nicolas-Troyan,231,120,19,9000,Sam Claflin,26000,47952020,Action,Adventure,Drama,Fantasy,,,,,Chris Hemsworth,The Huntsman: Winter's War,37750,46719,Charlize Theron,2,based on fairy tale|dark fantasy|fairy tale|second part|sequel,http://www.imdb.com/title/tt2381991/?ref_=fn_tt_tt_1,134,English,USA,PG-13,115000000,2016,11000,6.1,2.35,16000
Color,Robert Schwentke,181,120,124,943,Theo James,6000,66002193,Action,Adventure,Mystery,Sci-Fi,Thriller,,,,Naomi Watts,Allegiant,44296,12452,Zoë Kravitz,3,based on young adult novel|dystopia|genetic experimentation|strong female character|strong female lead,http://www.imdb.com/title/tt3410834/?ref_=fn_tt_tt_1,144,English,USA,PG-13,110000000,2016,5000,5.8,2.35,12000
Color,Timur Bekmambetov,1,141,335,635,Ayelet Zurer,11000,66002193,Adventure,Drama,History,,,,,,Morgan Freeman,Ben-Hur,62,13390,Moises Arias,2,chariot race|epic|false accusation|jerusalem|slave,http://www.imdb.com/title/tt2638144/?ref_=fn_tt_tt_1,1,English,USA,PG-13,100000000,2016,744,6.1,2.35,0
Color,Timur Bekmambetov,1,141,335,635,Ayelet Zurer,11000,66002193,Adventure,Drama,History,,,,,,Morgan Freeman,Ben-Hur,67,13391,Moises Arias,2,chariot race|epic|false accusation|jerusalem|slave,http://www.imdb.com/title/tt2638144/?ref_=fn_tt_tt_1,1,English,USA,PG-13,100000000,2016,744,6,2.35,0
Color,Jon M. Chu,196,129,209,886,Morgan Freeman,11000,64685359,Action,Adventure,Comedy,Crime,Mystery,Thriller,,,Daniel Radcliffe,Now You See Me 2,40862,23031,Sanaa Lathan,6,card trick|london england|magician|rain machine|rooftop,http://www.imdb.com/title/tt3110958/?ref_=fn_tt_tt_1,139,English,USA,PG-13,90000000,2016,11000,6.9,2.35,15000
Color,Yarrow Cheney,165,87,11,745,Eric Stonestreet,1000,323505540,Animation,Comedy,Family,,,,,,Steve Coogan,The Secret Life of Pets,24407,4782,Albert Brooks,0,animal control|lost animal|mongrel|pet|terrier,http://www.imdb.com/title/tt2709768/?ref_=fn_tt_tt_1,155,English,Japan,PG,75000000,2016,904,6.8,1.85,36000
Color,Clay Kaytis,141,97,6,415,Josh Gad,22000,107225164,Action,Animation,Comedy,Family,,,,,Peter Dinklage,The Angry Birds Movie,27130,24350,Keegan-Michael Key,0,butt|downward duck|fish|kingfisher|pig,http://www.imdb.com/title/tt1985949/?ref_=fn_tt_tt_1,126,English,USA,PG,73000000,2016,1000,6.3,1.85,14000
Color,Pou-Soi Cheang,14,119,3,22,Aaron Kwok,879,107225164,Action,Adventure,Fantasy,,,,,,Li Gong,Xi you ji zhi: Sun Wukong san da Baigu Jing,1212,1026,Eddie Peng,1,buddhism|demon|journey to the west|monk|monkey king,http://www.imdb.com/title/tt4591310/?ref_=fn_tt_tt_1,9,English,China,,68005000,2016,107,6,2.35,426
Color,David Lowery,78,102,38,190,Oona Laurence,3000,107225164,Adventure,Family,Fantasy,,,,,,Bryce Dallas Howard,Pete's Dragon,408,3691,Isiah Whitlock Jr.,0,,http://www.imdb.com/title/tt2788732/?ref_=fn_tt_tt_1,6,English,USA,PG,65000000,2016,424,7.3,2.35,21000
Color,Babak Najafi,225,99,24,864,Radha Mitchell,18000,62401264,Action,Crime,Drama,Thriller,,,,,Gerard Butler,London Has Fallen,69484,20276,Julian Kostov,3,british|funeral|good versus evil|mole|sequel,http://www.imdb.com/title/tt3300542/?ref_=fn_tt_tt_1,323,English,UK,R,60000000,2016,992,5.9,2.35,28000
Color,Tim Miller,579,108,84,361,Ed Skrein,16000,363024263,Action,Adventure,Comedy,Romance,Sci-Fi,,,,Ryan Reynolds,Deadpool,479047,18239,Stefan Kapicic,0,based on comic book|breaking the fourth wall|mercenary|mutant|self healing,http://www.imdb.com/title/tt1431045/?ref_=fn_tt_tt_1,1058,English,USA,R,58000000,2016,805,8.1,2.35,117000
